ID,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_UPZ,NOMBRE_UPZ,NOMBRE_BARRIO,DESTINO_SHD,ESTRATO,ANIO_GRAVABLE,TOTAL_PREDIOS,TOTAL_PREDIOS_OBLIGADOS,TOTAL_PREDIOS_NO_OBLIGADOS,TOTAL_PREDIOS_OPORTUNOS,TOTAL_PREDIOS_EXTEMPORANEOS,TOTAL_PREDIOS_MOROSOS,TOTAL_PREDIOS_NO-DECLARAN,TOTAL_PAGADO,MEDIA_POR_PREDIO,NOMBRE_SHD
1,1,USAQUï¿½N,0,EL RINCON,BARRANCAS ORIENTAL,61.0,1.0,2017,11,11,0,8,0,3,0,402000.0,36545.45,RESIDENCIALES_URBANOS_Y_RURALES
2,1,USAQUï¿½N,0,EL RINCON,BARRANCAS ORIENTAL,71.0,0.0,2017,1,1,0,0,0,1,0,0.0,0.0,SALUBRIDAD
3,1,USAQUï¿½N,0,EL RINCON,BARRANCAS ORIENTAL RURAL,61.0,0.0,2017,5,4,1,2,0,2,0,74000.0,14800.0,RESIDENCIALES_URBANOS_Y_RURALES
4,1,USAQUï¿½N,0,EL RINCON,BARRANCAS ORIENTAL RURAL,61.0,1.0,2017,5,5,0,5,0,0,0,2824000.0,564800.0,RESIDENCIALES_URBANOS_Y_RURALES
5,1,USAQUï¿½N,0,EL RINCON,BARRANCAS ORIENTAL RURAL,61.0,6.0,2017,2,2,0,1,0,1,0,5028000.0,2514000.0,RESIDENCIALES_URBANOS_Y_RURALES
6,1,USAQUï¿½N,0,EL RINCON,BARRANCAS ORIENTAL RURAL,62.0,0.0,2017,1,1,0,1,0,0,0,879000.0,879000.0,COMERCIAL
7,1,USAQUï¿½N,0,EL RINCON,BARRANCAS ORIENTAL RURAL,71.0,0.0,2017,4,4,0,0,0,3,1,0.0,0.0,SALUBRIDAD
8,1,USAQUï¿½N,0,EL RINCON,BELLA SUIZA,62.0,0.0,2017,1,1,0,1,0,0,0,341000.0,341000.0,COMERCIAL
9,1,USAQUï¿½N,0,EL RINCON,BOSQUE DE PINOS,61.0,1.0,2017,21,21,0,15,0,6,0,812000.0,38666.67,RESIDENCIALES_URBANOS_Y_RURALES
10,1,USAQUï¿½N,0,EL RINCON,BOSQUE DE PINOS,70.0,0.0,2017,3,2,1,1,0,1,0,162000.0,54000.0,EDUCATIVO
11,1,USAQUï¿½N,0,EL RINCON,BOSQUE DE PINOS III RURAL,66.0,0.0,2017,1,0,1,0,0,0,0,0.0,0.0,DOTACIONAL
12,1,USAQUï¿½N,0,EL RINCON,CANAIMA,61.0,2.0,2017,1,1,0,0,0,1,0,0.0,0.0,RESIDENCIALES_URBANOS_Y_RURALES
13,1,USAQUï¿½N,0,EL RINCON,CANAIMA,71.0,0.0,2017,1,1,0,0,0,1,0,0.0,0.0,SALUBRIDAD
14,1,USAQUï¿½N,0,EL RINCON,LA CITA,61.0,1.0,2017,7,7,0,6,0,1,0,460000.0,65714.29,RESIDENCIALES_URBANOS_Y_RURALES
15,1,USAQUï¿½N,0,EL RINCON,LA CITA,62.0,0.0,2017,1,1,0,1,0,0,0,41000.0,41000.0,COMERCIAL
16,1,USAQUï¿½N,0,EL RINCON,LA CITA,67.0,0.0,2017,1,1,0,0,0,1,0,1279000.0,1279000.0,URBANIZABLES_NO_URBANIZADOS
17,1,USAQUï¿½N,0,EL RINCON,LA ESTRELLITA,61.0,1.0,2017,436,403,33,267,0,132,8,21353000.0,48974.77,RESIDENCIALES_URBANOS_Y_RURALES
18,1,USAQUï¿½N,0,EL RINCON,LA ESTRELLITA,61.0,2.0,2017,4,4,0,0,0,4,0,0.0,0.0,RESIDENCIALES_URBANOS_Y_RURALES
19,1,USAQUï¿½N,0,EL RINCON,LA ESTRELLITA,62.0,0.0,2017,13,13,0,11,0,2,0,3912000.0,300923.08,COMERCIAL
20,1,USAQUï¿½N,0,EL RINCON,LA ESTRELLITA,64.0,0.0,2017,1,1,0,0,0,1,0,0.0,0.0,INDUSTRIAL
21,1,USAQUï¿½N,0,EL RINCON,LA ESTRELLITA,66.0,0.0,2017,4,3,1,0,0,1,2,0.0,0.0,DOTACIONAL
22,1,USAQUï¿½N,0,EL RINCON,LA ESTRELLITA,71.0,0.0,2017,21,21,0,3,0,17,1,114000.0,5428.57,SALUBRIDAD
23,1,USAQUï¿½N,0,EL RINCON,LAS FLORES,66.0,0.0,2017,1,0,1,0,0,0,0,0.0,0.0,DOTACIONAL
24,1,USAQUï¿½N,0,EL RINCON,LOS CEDROS,61.0,4.0,2017,16,16,0,5,0,0,11,35364000.0,2210250.0,RESIDENCIALES_URBANOS_Y_RURALES
25,1,USAQUï¿½N,0,EL RINCON,LOS CEDROS,62.0,0.0,2017,1,1,0,1,0,0,0,9042000.0,9042000.0,COMERCIAL
26,1,USAQUï¿½N,0,EL RINCON,LOS CEDROS,65.0,0.0,2017,8,8,0,0,0,0,8,0.0,0.0,DEPOSITOS_Y_PARQUEADEROS
27,1,USAQUï¿½N,0,EL RINCON,MIRADOR DEL NORTE,61.0,1.0,2017,1,1,0,0,0,1,0,0.0,0.0,RESIDENCIALES_URBANOS_Y_RURALES
28,1,USAQUï¿½N,0,EL RINCON,PARAMO,61.0,0.0,2017,10,10,0,6,0,3,1,11265000.0,1126500.0,RESIDENCIALES_URBANOS_Y_RURALES
29,1,USAQUï¿½N,0,EL RINCON,PARAMO,61.0,1.0,2017,30,26,4,15,0,10,2,3987000.0,132900.0,RESIDENCIALES_URBANOS_Y_RURALES
30,1,USAQUï¿½N,0,EL RINCON,PARAMO,61.0,2.0,2017,52,50,2,39,1,9,1,18617000.0,358019.23,RESIDENCIALES_URBANOS_Y_RURALES
31,1,USAQUï¿½N,0,EL RINCON,PARAMO,61.0,3.0,2017,39,39,0,27,0,11,1,11469000.0,294076.92,RESIDENCIALES_URBANOS_Y_RURALES
32,1,USAQUï¿½N,0,EL RINCON,PARAMO,61.0,4.0,2017,22,22,0,19,0,4,0,23511000.0,1068681.82,RESIDENCIALES_URBANOS_Y_RURALES
33,1,USAQUï¿½N,0,EL RINCON,PARAMO,61.0,5.0,2017,15,15,0,12,0,1,2,12622000.0,841466.67,RESIDENCIALES_URBANOS_Y_RURALES
34,1,USAQUï¿½N,0,EL RINCON,PARAMO,61.0,6.0,2017,17,17,0,12,0,4,1,28853000.0,1697235.29,RESIDENCIALES_URBANOS_Y_RURALES
35,1,USAQUï¿½N,0,EL RINCON,PARAMO,62.0,0.0,2017,34,34,0,22,0,12,0,38764000.0,1140117.65,COMERCIAL
36,1,USAQUï¿½N,0,EL RINCON,PARAMO,64.0,0.0,2017,2,2,0,1,0,0,1,43000.0,21500.0,INDUSTRIAL
37,1,USAQUï¿½N,0,EL RINCON,PARAMO,66.0,0.0,2017,11,6,5,4,0,0,2,25847000.0,2349727.27,DOTACIONAL
38,1,USAQUï¿½N,0,EL RINCON,PARAMO,69.0,0.0,2017,4,4,0,3,0,1,0,6812000.0,1703000.0,RURAL_URBANIZABLE
39,1,USAQUï¿½N,0,EL RINCON,PARAMO,71.0,0.0,2017,97,95,2,53,0,32,13,38019000.0,391948.45,SALUBRIDAD
40,1,USAQUï¿½N,0,EL RINCON,PARAMO,72.0,0.0,2017,10,10,0,9,0,1,0,9476000.0,947600.0,RELIGIOSO
41,1,USAQUï¿½N,0,EL RINCON,PARAMO I,61.0,0.0,2017,2,2,0,2,0,0,0,610000.0,305000.0,RESIDENCIALES_URBANOS_Y_RURALES
42,1,USAQUï¿½N,0,EL RINCON,PARAMO I,61.0,6.0,2017,16,16,0,15,0,1,0,73591000.0,4599437.5,RESIDENCIALES_URBANOS_Y_RURALES
43,1,USAQUï¿½N,0,EL RINCON,PARAMO I,62.0,0.0,2017,3,3,0,2,1,0,0,2308000.0,769333.33,COMERCIAL
44,1,USAQUï¿½N,0,EL RINCON,PARAMO I,66.0,0.0,2017,2,2,0,2,0,0,0,500000.0,250000.0,DOTACIONAL
45,1,USAQUï¿½N,0,EL RINCON,PARAMO I,69.0,0.0,2017,1,1,0,1,0,0,0,413000.0,413000.0,RURAL_URBANIZABLE
46,1,USAQUï¿½N,0,EL RINCON,PARAMO I,71.0,0.0,2017,24,24,0,17,0,7,0,6471000.0,269625.0,SALUBRIDAD
47,1,USAQUï¿½N,0,EL RINCON,PARAMO I,72.0,0.0,2017,3,3,0,3,0,0,0,6372000.0,2124000.0,RELIGIOSO
48,1,USAQUï¿½N,0,EL RINCON,PARAMO II,61.0,0.0,2017,3,3,0,1,0,2,0,3434000.0,1144666.67,RESIDENCIALES_URBANOS_Y_RURALES
49,1,USAQUï¿½N,0,EL RINCON,PARAMO II,61.0,1.0,2017,1,1,0,1,0,0,0,46000.0,46000.0,RESIDENCIALES_URBANOS_Y_RURALES
50,1,USAQUï¿½N,0,EL RINCON,PARAMO II,61.0,2.0,2017,6,6,0,4,0,2,0,248000.0,41333.33,RESIDENCIALES_URBANOS_Y_RURALES
51,1,USAQUï¿½N,0,EL RINCON,PARAMO II,61.0,3.0,2017,2,2,0,1,0,1,0,465000.0,232500.0,RESIDENCIALES_URBANOS_Y_RURALES
52,1,USAQUï¿½N,0,EL RINCON,PARAMO II,69.0,0.0,2017,8,8,0,3,0,5,0,1641000.0,205125.0,RURAL_URBANIZABLE
53,1,USAQUï¿½N,0,EL RINCON,PARAMO II,71.0,0.0,2017,12,11,1,6,0,5,0,244000.0,20333.33,SALUBRIDAD
54,1,USAQUï¿½N,0,EL RINCON,PARAMO III,61.0,0.0,2017,1,1,0,1,0,0,0,817000.0,817000.0,RESIDENCIALES_URBANOS_Y_RURALES
55,1,USAQUï¿½N,0,EL RINCON,PARAMO III,61.0,2.0,2017,4,4,0,2,0,2,0,101000.0,25250.0,RESIDENCIALES_URBANOS_Y_RURALES
56,1,USAQUï¿½N,0,EL RINCON,PARAMO IV,61.0,2.0,2017,68,60,8,52,1,6,1,5799000.0,85279.41,RESIDENCIALES_URBANOS_Y_RURALES
57,1,USAQUï¿½N,0,EL RINCON,PARAMO IV,62.0,0.0,2017,1,1,0,1,0,0,0,539000.0,539000.0,COMERCIAL
58,1,USAQUï¿½N,0,EL RINCON,PARAMO IV,71.0,0.0,2017,3,3,0,3,0,0,0,58000.0,19333.33,SALUBRIDAD
59,1,USAQUï¿½N,0,EL RINCON,PARAMO URBANO,61.0,0.0,2017,2,2,0,2,0,0,0,824000.0,412000.0,RESIDENCIALES_URBANOS_Y_RURALES
60,1,USAQUï¿½N,0,EL RINCON,PARAMO URBANO,61.0,2.0,2017,50,47,3,35,0,11,1,14142000.0,282840.0,RESIDENCIALES_URBANOS_Y_RURALES
61,1,USAQUï¿½N,0,EL RINCON,PARAMO URBANO,62.0,0.0,2017,3,3,0,2,0,1,0,239000.0,79666.67,COMERCIAL
62,1,USAQUï¿½N,0,EL RINCON,PARAMO URBANO,66.0,0.0,2017,3,3,0,0,0,3,0,0.0,0.0,DOTACIONAL
63,1,USAQUï¿½N,0,EL RINCON,PARAMO URBANO,71.0,0.0,2017,1,1,0,1,0,0,0,37000.0,37000.0,SALUBRIDAD
64,1,USAQUï¿½N,0,EL RINCON,PARAMO URBANO I,61.0,2.0,2017,1,1,0,1,0,0,0,48000.0,48000.0,RESIDENCIALES_URBANOS_Y_RURALES
65,1,USAQUï¿½N,0,EL RINCON,PARAMO URBANO I,70.0,0.0,2017,1,1,0,1,0,0,0,40000.0,40000.0,EDUCATIVO
66,1,USAQUï¿½N,0,EL RINCON,PARAMO URBANO III,61.0,2.0,2017,1,1,0,0,0,1,0,0.0,0.0,RESIDENCIALES_URBANOS_Y_RURALES
67,1,USAQUï¿½N,0,EL RINCON,SAN GABRIEL NORTE,66.0,0.0,2017,2,0,2,0,0,0,0,0.0,0.0,DOTACIONAL
68,1,USAQUï¿½N,0,EL RINCON,SANTA CECILIA PUENTE NORTE,61.0,1.0,2017,132,79,53,46,0,34,1,1369000.0,10371.21,RESIDENCIALES_URBANOS_Y_RURALES
69,1,USAQUï¿½N,0,EL RINCON,SANTA CECILIA PUENTE NORTE,67.0,0.0,2017,1,1,0,0,0,1,0,0.0,0.0,URBANIZABLES_NO_URBANIZADOS
70,1,USAQUï¿½N,0,EL RINCON,SANTA CECILIA PUENTE NORTE,70.0,0.0,2017,16,9,7,0,0,7,2,0.0,0.0,EDUCATIVO
71,1,USAQUï¿½N,0,EL RINCON,TIBABITA,61.0,0.0,2017,1,1,0,0,0,1,0,0.0,0.0,RESIDENCIALES_URBANOS_Y_RURALES
72,1,USAQUï¿½N,0,EL RINCON,TIBABITA,61.0,1.0,2017,1,1,0,0,0,1,0,0.0,0.0,RESIDENCIALES_URBANOS_Y_RURALES
73,1,USAQUï¿½N,0,EL RINCON,TIBABITA,66.0,0.0,2017,4,4,0,0,0,3,1,0.0,0.0,DOTACIONAL
74,1,USAQUï¿½N,0,EL RINCON,TIBABITA RURAL,61.0,0.0,2017,3,3,0,1,0,1,1,251000.0,83666.67,RESIDENCIALES_URBANOS_Y_RURALES
75,1,USAQUï¿½N,0,EL RINCON,TIBABITA RURAL,61.0,2.0,2017,2,0,2,0,0,0,0,0.0,0.0,RESIDENCIALES_URBANOS_Y_RURALES
76,1,USAQUï¿½N,0,EL RINCON,TIBABITA RURAL,71.0,0.0,2017,6,6,0,4,0,2,0,1242000.0,207000.0,SALUBRIDAD
77,1,USAQUï¿½N,0,EL RINCON,TIBABITA RURAL,72.0,0.0,2017,1,1,0,1,0,0,0,5221000.0,5221000.0,RELIGIOSO
78,1,USAQUï¿½N,0,EL RINCON,TIBABITA RURAL I,61.0,0.0,2017,35,35,0,28,0,6,1,5082000.0,145200.0,RESIDENCIALES_URBANOS_Y_RURALES
79,1,USAQUï¿½N,0,EL RINCON,TIBABITA RURAL I,61.0,1.0,2017,131,80,51,24,0,53,5,1288000.0,9832.06,RESIDENCIALES_URBANOS_Y_RURALES
80,1,USAQUï¿½N,0,EL RINCON,TIBABITA RURAL I,61.0,2.0,2017,18,15,3,4,0,10,1,403000.0,22388.89,RESIDENCIALES_URBANOS_Y_RURALES
